UNIQUE,YEAR,DATECAPTURE,PLANID,ST,AREA,CARRIER,PLANNAME,METAL,PLANTYPE,PREMIC,PREMI27,PREMI50,PREMI2C30,PREMC2C30
,2023,10/17/22,88582NY0230001-06,NY,NY08,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network Pediatric Dental DP FP Dep 29",Silver,2,,1112.95,1112.95,1892.02,3171.91
,2023,10/17/22,88582NY0230001-06,NY,NY03,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network Pediatric Dental DP FP Dep 29",Silver,2,,1172.97,1172.97,1994.05,3342.96
,2023,10/17/22,88582NY0230001-06,NY,NY01,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network Pediatric Dental DP FP Dep 29",Silver,2,,1172.47,1172.47,1993.2,3341.54
,2023,10/17/22,88582NY0230001-06,NY,NY04,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network Pediatric Dental DP FP Dep 29",Silver,2,,978.36,978.36,1663.21,2788.33
,2023,10/17/22,88582NY0230001-06,NY,NY07,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network Pediatric Dental DP FP Dep 29",Silver,2,,1172.47,1172.47,1993.2,3341.54
,2023,10/17/22,88582NY0230001-06,NY,NY06,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network Pediatric Dental DP FP Dep 29",Silver,2,,1172.47,1172.47,1993.2,3341.54
,2023,10/17/22,88582NY0160001-05,NY,NY08,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network, Pediatric Dental DP FP",Silver,2,,1080.53,1080.53,1836.9,3079.51
,2023,10/17/22,88582NY0160001-05,NY,NY01,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network, Pediatric Dental DP FP",Silver,2,,1138.32,1138.32,1935.14,3244.21
,2023,10/17/22,88582NY0160001-05,NY,NY04,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network, Pediatric Dental DP FP",Silver,2,,949.86,949.86,1614.76,2707.1
,2023,10/17/22,88582NY0160001-05,NY,NY03,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network, Pediatric Dental DP FP",Silver,2,,1138.81,1138.81,1935.98,3245.61
,2023,10/17/22,88582NY0160001-05,NY,NY06,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network, Pediatric Dental DP FP",Silver,2,,1138.32,1138.32,1935.14,3244.21
,2023,10/17/22,88582NY0160001-05,NY,NY07,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network, Pediatric Dental DP FP",Silver,2,,1138.32,1138.32,1935.14,3244.21
,2023,10/17/22,88582NY0240001-04,NY,NY08,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network, Child Only, Pediatric Dental DP FP",Silver,2,445.18,,,,
,2023,10/17/22,88582NY0240001-04,NY,NY04,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network, Child Only, Pediatric Dental DP FP",Silver,2,391.34,,,,
,2023,10/17/22,88582NY0240001-04,NY,NY03,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network, Child Only, Pediatric Dental DP FP",Silver,2,469.19,,,,
,2023,10/17/22,88582NY0240001-04,NY,NY06,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network, Child Only, Pediatric Dental DP FP",Silver,2,468.99,,,,
,2023,10/17/22,88582NY0240001-04,NY,NY01,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network, Child Only, Pediatric Dental DP FP",Silver,2,468.99,,,,
,2023,10/17/22,88582NY0240001-04,NY,NY07,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network, Child Only, Pediatric Dental DP FP",Silver,2,468.99,,,,
,2023,10/17/22,88582NY0230001-04,NY,NY08,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network Pediatric Dental DP FP Dep 29",Silver,2,,1112.95,1112.95,1892.02,3171.91
,2023,10/17/22,88582NY0230001-04,NY,NY03,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network Pediatric Dental DP FP Dep 29",Silver,2,,1172.97,1172.97,1994.05,3342.96
,2023,10/17/22,88582NY0230001-04,NY,NY01,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network Pediatric Dental DP FP Dep 29",Silver,2,,1172.47,1172.47,1993.2,3341.54
,2023,10/17/22,88582NY0230001-04,NY,NY06,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network Pediatric Dental DP FP Dep 29",Silver,2,,1172.47,1172.47,1993.2,3341.54
,2023,10/17/22,88582NY0230001-04,NY,NY07,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network Pediatric Dental DP FP Dep 29",Silver,2,,1172.47,1172.47,1993.2,3341.54
,2023,10/17/22,88582NY0180001,NY,NY04,EmblemHealth,"EmblemHealth Catastrophic, ST, INN, Prime Network, Pediatric Dental DP FP",Catastrophic,2,,449.33,449.33,763.86,1280.59
,2023,10/17/22,88582NY0180001,NY,NY08,EmblemHealth,"EmblemHealth Catastrophic, ST, INN, Prime Network, Pediatric Dental DP FP",Catastrophic,2,,511.14,511.14,868.94,1456.75
,2023,10/17/22,88582NY0230001-04,NY,NY04,EmblemHealth,"EmblemHealth, Silver, ST, INN, Prime Network Pediatric Dental DP FP Dep 29",Silver,2,,978.36,978.36,1663.21,2788.33
,2023,10/17/22,88582NY0180001,NY,NY03,EmblemHealth,"EmblemHealth Catastrophic, ST, INN, Prime Network, Pediatric Dental DP FP",Catastrophic,2,,538.71,538.71,915.81,1535.32
,2023,10/17/22,88582NY0180001,NY,NY01,EmblemHealth,"EmblemHealth Catastrophic, ST, INN, Prime Network, Pediatric Dental DP FP",Catastrophic,2,,538.48,538.48,915.42,1534.67
,2023,10/17/22,88582NY0140001,NY,NY04,EmblemHealth,"EmblemHealth, Platinum, ST, INN, Prime Network, Pediatric Dental DP FP",Platinum,2,,1358.84,1358.84,2310.03,3872.69
,2023,10/17/22,88582NY0180001,NY,NY06,EmblemHealth,"EmblemHealth Catastrophic, ST, INN, Prime Network, Pediatric Dental DP FP",Catastrophic,2,,538.48,538.48,915.42,1534.67
,2023,10/17/22,88582NY0180001,NY,NY07,EmblemHealth,"EmblemHealth Catastrophic, ST, INN, Prime Network, Pediatric Dental DP FP",Catastrophic,2,,538.48,538.48,915.42,1534.67
,2023,10/17/22,88582NY0140001,NY,NY08,EmblemHealth,"EmblemHealth, Platinum, ST, INN, Prime Network, Pediatric Dental DP FP",Platinum,2,,1545.77,1545.77,2627.81,4405.44
,2023,10/17/22,88582NY0140001,NY,NY01,EmblemHealth,"EmblemHealth, Platinum, ST, INN, Prime Network, Pediatric Dental DP FP",Platinum,2,,1628.45,1628.45,2768.37,4641.08
